t,x,y,vx,vy,kinetic_energy
90.9982173675,1.0099813410,0.4959480965,0.0099981663,0.0008995263,0.0000503862
91.0403251049,1.0104023375,0.4959858836,0.0099979875,0.0008952527,0.0000503806
91.0817004369,1.0108160036,0.4960228380,0.0099977947,0.0008910474,0.0000503749
91.1225015468,1.0112239205,0.4960591090,0.0099975866,0.0008868941,0.0000503692
91.1623798608,1.0116226031,0.4960943958,0.0099973641,0.0008828282,0.0000503633
91.2014138634,1.0120128356,0.4961287783,0.0099971264,0.0008788415,0.0000503574
91.2399622555,1.0123982039,0.4961625803,0.0099968706,0.0008748970,0.0000503514
91.2779620318,1.0127780776,0.4961957522,0.0099965960,0.0008710009,0.0000503453
91.3152678701,1.0131510036,0.4962281741,0.0099963030,0.0008671678,0.0000503390
91.3517701453,1.0135158858,0.4962597591,0.0099959918,0.0008634088,0.0000503327
91.3876792332,1.0138748269,0.4962906968,0.0099956600,0.0008597021,0.0000503262
91.4231443510,1.0142293179,0.4963211212,0.0099953053,0.0008560318,0.0000503195
91.4581319562,1.0145790232,0.4963510082,0.0099949269,0.0008524011,0.0000503126
91.4924887321,1.0149224099,0.4963802326,0.0099945256,0.0008488256,0.0000503055
91.5262716346,1.0152600468,0.4964088488,0.0099940999,0.0008452990,0.0000502983
91.5596330002,1.0155934562,0.4964369909,0.0099936469,0.0008418053,0.0000502908
91.5924249636,1.0159211597,0.4964645389,0.0099931677,0.0008383595,0.0000502831
91.6246878919,1.0162435605,0.4964915320,0.0099926609,0.0008349571,0.0000502752
91.6564454772,1.0165608949,0.4965179949,0.0099921252,0.0008315954,0.0000502671
91.6878509641,1.0168746936,0.4965440591,0.0099915569,0.0008282577,0.0000502586
91.7187591467,1.0171835053,0.4965696081,0.0099909575,0.0008249590,0.0000502499
91.7493140446,1.0174887684,0.4965947647,0.0099903229,0.0008216836,0.0000502409
91.7793896964,1.0177892240,0.4966194287,0.0099896547,0.0008184447,0.0000502315
91.8091476498,1.0180864853,0.4966437360,0.0099889481,0.0008152244,0.0000502218
91.8384422316,1.0183790966,0.4966675711,0.0099882052,0.0008120380,0.0000502118
91.8674132914,1.0186684542,0.4966910508,0.0099874213,0.0008088700,0.0000502014
91.8960563586,1.0189545129,0.4967141743,0.0099865949,0.0008057203,0.0000501906
91.9243689108,1.0192372467,0.4967369420,0.0099857246,0.0008025886,0.0000501794
91.9522430069,1.0195155771,0.4967592702,0.0099848124,0.0007994865,0.0000501678
91.9798260589,1.0197909756,0.4967812799,0.0099838523,0.0007963972,0.0000501558
92.0071135566,1.0200633963,0.4968029697,0.0099828425,0.0007933205,0.0000501433
