t_removed,x_real,y_real,x_restored,y_restored
91.6878509641,1.0168746936,0.4965440591,1.0168746936,0.4965440591
91.7493140446,1.0174887684,0.4965947647,1.0174887684,0.4965947647
91.8091476498,1.0180864853,0.4966437360,1.0180864853,0.4966437361
91.8674132914,1.0186684542,0.4966910508,1.0186684543,0.4966910509
91.9243689108,1.0192372467,0.4967369420,1.0192372467,0.4967369420
91.9798260589,1.0197909756,0.4967812799,1.0197909756,0.4967812799
92.0340951788,1.0203327355,0.4968243335,1.0203327355,0.4968243335
92.0868780997,1.0208595444,0.4968658861,1.0208595444,0.4968658861
92.1385656426,1.0213752976,0.4969062640,1.0213752977,0.4969062640
92.1891352427,1.0218797635,0.4969454647,1.0218797636,0.4969454647
92.2386463665,1.0223735287,0.4969835485,1.0223735287,0.4969835484
92.2870149904,1.0228557486,0.4970204649,1.0228557485,0.4970204649
92.3344135070,1.0233281353,0.4970563586,1.0233281353,0.4970563586
92.3809783299,1.0237920401,0.4970913430,1.0237920401,0.4970913430
92.4266916593,1.0242472767,0.4971254135,1.0242472768,0.4971254135
92.4713996044,1.0246923049,0.4971584656,1.0246923049,0.4971584656
92.5152290167,1.0251283798,0.4971906031,1.0251283798,0.4971906031
92.5585230598,1.0255589049,0.4972220834,1.0255589049,0.4972220834
92.6009077029,1.0259801502,0.4972526404,1.0259801502,0.4972526404
92.6424563750,1.0263928373,0.4972823355,1.0263928373,0.4972823355
92.6836747180,1.0268019755,0.4973115328,1.0268019754,0.4973115328
92.7240434292,1.0272023966,0.4973398674,1.0272023965,0.4973398674
92.7638721268,1.0275971605,0.4973675612,1.0275971605,0.4973675612
92.8031337058,1.0279859839,0.4973945972,1.0279859840,0.4973945972
92.8419117440,1.0283696790,0.4974210340,1.0283696790,0.4974210339
92.8801239969,1.0287474159,0.4974468162,1.0287474160,0.4974468162
92.9178549370,1.0291200135,0.4974720014,1.0291200135,0.4974720014
92.9551282763,1.0294876875,0.4974966048,1.0294876875,0.4974966047
92.9918816185,1.0298498045,0.4975205846,1.0298498045,0.4975205846
93.0282232759,1.0302074124,0.4975440102,1.0302074124,0.4975440102
93.0643229324,1.0305621558,0.4975669864,1.0305621558,0.4975669863
93.0999289483,1.0309115375,0.4975893487,1.0309115376,0.4975893488
93.1352365040,1.0312574489,0.4976112162,1.0312574489,0.4976112163
93.1701555827,1.0315989809,0.4976325278,1.0315989809,0.4976325278
93.2047601293,1.0319368291,0.4976533231,1.0319368291,0.4976533231
93.2391512274,1.0322719470,0.4976736546,1.0322719470,0.4976736546
93.2731611507,1.0326026675,0.4976934153,1.0326026675,0.4976934153
93.3069094253,1.0329301204,0.4977126673,1.0329301204,0.4977126674
93.3404099787,1.0332544028,0.4977314086,1.0332544027,0.4977314086
93.3734905387,1.0335738132,0.4977495349,1.0335738132,0.4977495349
93.4063005861,1.0338897614,0.4977671206,1.0338897613,0.4977671206
93.4385805331,1.0341997178,0.4977840208,1.0341997178,0.4977840208
93.4704465504,1.0345047743,0.4978002930,1.0345047743,0.4978002930
93.5017812051,1.0348037841,0.4978158747,1.0348037841,0.4978158747
93.5325089934,1.0350960145,0.4978307297,1.0350960145,0.4978307297
93.5625990375,1.0353811669,0.4978448474,1.0353811669,0.4978448473
93.5920197639,1.0356589435,0.4978582195,1.0356589435,0.4978582196
93.6208070978,1.0359296877,0.4978708699,1.0359296877,0.4978708699
93.6488722895,1.0361925756,0.4978827691,1.0361925757,0.4978827690
93.6762518771,1.0364479670,0.4978939446,1.0364479670,0.4978939446
93.7029689631,1.0366960955,0.4979044176,1.0366960955,0.4979044177
93.7290463896,1.0369371925,0.4979142090,1.0369371925,0.4979142090
93.7545071067,1.0371714902,0.4979233391,1.0371714903,0.4979233391
93.7793855168,1.0373993255,0.4979318317,1.0373993256,0.4979318316
93.8037079364,1.0376209590,0.4979397067,1.0376209590,0.4979397068
93.8275024643,1.0378366661,0.4979469840,1.0378366661,0.4979469840
93.8507970176,1.0380467185,0.4979536819,1.0380467186,0.4979536819
93.8736162079,1.0382513561,0.4979598172,1.0382513561,0.4979598172
93.8959892057,1.0384508574,0.4979654066,1.0384508574,0.4979654066
93.9179386594,1.0386454399,0.4979704641,1.0386454399,0.4979704641
93.9394929318,1.0388353696,0.4979750038,1.0388353696,0.4979750038
93.9606657492,1.0390207809,0.4979790358,1.0390207810,0.4979790357
93.9814537946,1.0392016599,0.4979825670,1.0392016599,0.4979825670
94.0019138702,1.0393785137,0.4979856137,1.0393785137,0.4979856137
94.0220536031,1.0395514178,0.4979881825,1.0395514179,0.4979881825
94.0419013315,1.0397206240,0.4979902817,1.0397206240,0.4979902817
94.0614349716,1.0398859537,0.4979919143,1.0398859538,0.4979919142
94.0807031409,1.0400478278,0.4979930890,1.0400478278,0.4979930890
94.0997206484,1.0402063756,0.4979938104,1.0402063757,0.4979938103
94.1184887231,1.0403616127,0.4979940815,1.0403616127,0.4979940815
94.1370177478,1.0405136306,0.4979939061,1.0405136306,0.4979939061
94.1553025053,1.0406623931,0.4979932879,1.0406623932,0.4979932879
94.1733823572,1.0408082255,0.4979922285,1.0408082255,0.4979922285
94.1912526600,1.0409510929,0.4979907305,1.0409510929,0.4979907304
94.2089265226,1.0410911031,0.4979887948,1.0410911031,0.4979887948
94.2264057343,1.0412282734,0.4979864236,1.0412282734,0.4979864236
94.2437176302,1.0413628190,0.4979836145,1.0413628191,0.4979836146
94.2608762033,1.0414948463,0.4979803654,1.0414948463,0.4979803655
94.2778499566,1.0416241135,0.4979766836,1.0416241136,0.4979766836
94.2947002577,1.0417510863,0.4979725560,1.0417510863,0.4979725560
94.3113688996,1.0418753249,0.4979679976,1.0418753249,0.4979679975
94.3279170535,1.0419972852,0.4979629924,1.0419972852,0.4979629924
94.3443560320,1.0421170422,0.4979575351,1.0421170421,0.4979575351
94.3606629223,1.0422344229,0.4979516321,1.0422344230,0.4979516321
94.3768673052,1.0423496346,0.4979452714,1.0423496346,0.4979452714
94.3929549014,1.0424625685,0.4979384571,1.0424625686,0.4979384570
94.4089294543,1.0425732464,0.4979311867,1.0425732464,0.4979311867
94.4248027389,1.0426817438,0.4979234537,1.0426817438,0.4979234538
94.4405918139,1.0427881683,0.4979152475,1.0427881683,0.4979152474
94.4562887064,1.0428924566,0.4979065695,1.0428924565,0.4979065694
94.4719173852,1.0429947567,0.4978974034,1.0429947567,0.4978974034
94.4874836959,1.0430950922,0.4978877415,1.0430950922,0.4978877416
94.5029822615,1.0431934140,0.4978775829,1.0431934140,0.4978775829
94.5184256817,1.0432897873,0.4978669149,1.0432897873,0.4978669150
94.5338109791,1.0433841779,0.4978557351,1.0433841779,0.4978557351
94.5491467309,1.0434766225,0.4978440322,1.0434766225,0.4978440323
94.5644391831,1.0435671410,0.4978317963,1.0435671410,0.4978317964
94.5796766333,1.0436556481,0.4978190319,1.0436556481,0.4978190319
94.5949176750,1.0437424606,0.4978056824,1.0437424606,0.4978056824
94.6101022456,1.0438272137,0.4977917934,1.0438272138,0.4977917933
94.6252722084,1.0439101220,0.4977773207,1.0439101220,0.4977773207
94.6404445641,1.0439912494,0.4977622390,1.0439912494,0.4977622390
94.6555754250,1.0440703375,0.4977465844,1.0440703376,0.4977465844
94.6707287135,1.0441476938,0.4977302823,1.0441476937,0.4977302823
94.6858853274,1.0442231858,0.4977133421,1.0442231858,0.4977133421
94.7010853996,1.0442969751,0.4976957064,1.0442969751,0.4976957065
94.7162922889,1.0443688448,0.4976774054,1.0443688448,0.4976774054
94.7315139848,1.0444387995,0.4976584186,1.0444387995,0.4976584186
