s x_s y_s F_val G_val
5.95 2.44501 1.17295 0.312333 0.312207
5.96 2.44823 1.18241 0.30758 0.307464
5.97 2.45136 1.19191 0.30292 0.302813
5.98 2.45439 1.20144 0.298351 0.298254
5.99 2.45733 1.211 0.293873 0.293783
6 2.46017 1.22058 0.289483 0.289401
6.01 2.46292 1.2302 0.285181 0.285106
6.02 2.46557 1.23984 0.280965 0.280896
6.03 2.46812 1.24951 0.276833 0.27677
6.04 2.47058 1.2592 0.272784 0.272726
6.05 2.47294 1.26892 0.268816 0.268763
6.06 2.4752 1.27866 0.264929 0.264881
6.07 2.47736 1.28843 0.261121 0.261077
6.08 2.47943 1.29821 0.25739 0.25735
6.09 2.4814 1.30801 0.253735 0.253698
6.1 2.48327 1.31784 0.250155 0.250122
6.11 2.48504 1.32768 0.246649 0.246618
6.12 2.48671 1.33754 0.243215 0.243187
6.13 2.48829 1.34741 0.239852 0.239826
6.14 2.48977 1.3573 0.236558 0.236535
6.15 2.49114 1.36721 0.233333 0.233312
6.16 2.49242 1.37713 0.230176 0.230157
6.17 2.4936 1.38706 0.227084 0.227067
6.18 2.49468 1.397 0.224058 0.224042
6.19 2.49566 1.40695 0.221095 0.22108
6.2 2.49654 1.41691 0.218195 0.218181
6.21 2.49732 1.42688 0.215356 0.215344
6.22 2.498 1.43686 0.212577 0.212566
6.23 2.49859 1.44684 0.209858 0.209848
6.24 2.49907 1.45683 0.207197 0.207188
6.25 2.49945 1.46682 0.204593 0.204585
6.26 2.49973 1.47682 0.202046 0.202038
6.27 2.49991 1.48682 0.199553 0.199547
6.28 2.49999 1.49681 0.197115 0.197109
