s x_s y_s F_val G_val
1.33 1.73848 2.47115 0.152013 0.152012
1.34 1.72875 2.47348 0.153391 0.153391
1.35 1.71901 2.47572 0.154804 0.154804
1.36 1.70924 2.47786 0.156254 0.156253
1.37 1.69945 2.47991 0.157739 0.157739
1.38 1.68964 2.48185 0.159262 0.159261
1.39 1.67981 2.4837 0.160822 0.160821
1.4 1.66997 2.48545 0.16242 0.162419
1.41 1.6601 2.4871 0.164058 0.164057
1.42 1.65023 2.48865 0.165735 0.165734
1.43 1.64033 2.4901 0.167452 0.167451
1.44 1.63042 2.49146 0.169211 0.169209
1.45 1.6205 2.49271 0.171011 0.171009
1.46 1.61057 2.49387 0.172854 0.172852
1.47 1.60063 2.49492 0.17474 0.174737
1.48 1.59067 2.49588 0.17667 0.176667
1.49 1.58071 2.49674 0.178645 0.178642
1.5 1.57074 2.49749 0.180665 0.180662
1.51 1.56076 2.49815 0.182732 0.182729
1.52 1.55077 2.49871 0.184846 0.184843
1.53 1.54079 2.49917 0.187009 0.187005
1.54 1.53079 2.49953 0.189221 0.189216
1.55 1.52079 2.49978 0.191482 0.191477
1.56 1.5108 2.49994 0.193795 0.193789
1.57 1.5008 2.5 0.196159 0.196153
1.58 1.4908 2.49996 0.198576 0.19857
1.59 1.4808 2.49982 0.201047 0.20104
1.6 1.4708 2.49957 0.203572 0.203565
1.61 1.46081 2.49923 0.206154 0.206145
1.62 1.45082 2.49879 0.208792 0.208782
1.63 1.44083 2.49825 0.211488 0.211477
1.64 1.43085 2.49761 0.214242 0.214231
1.65 1.42088 2.49687 0.217057 0.217044
1.66 1.41091 2.49602 0.219933 0.219919
1.67 1.40096 2.49508 0.22287 0.222855
1.68 1.39101 2.49404 0.225871 0.225855
1.69 1.38108 2.4929 0.228937 0.228918
1.7 1.37116 2.49166 0.232068 0.232048
1.71 1.36125 2.49033 0.235266 0.235244
1.72 1.35135 2.48889 0.238532 0.238508
1.73 1.34147 2.48735 0.241867 0.24184
1.74 1.3316 2.48572 0.245273 0.245243
1.75 1.32175 2.48399 0.24875 0.248718
1.76 1.31192 2.48215 0.252301 0.252265
1.77 1.30211 2.48022 0.255926 0.255887
1.78 1.29232 2.4782 0.259626 0.259583
1.79 1.28255 2.47607 0.263403 0.263357
1.8 1.2728 2.47385 0.267259 0.267208
1.81 1.26307 2.47153 0.271194 0.271139
1.82 1.25337 2.46911 0.275211 0.27515
1.83 1.24369 2.46659 0.279309 0.279243
1.84 1.23404 2.46398 0.283492 0.28342
1.85 1.22441 2.46128 0.28776 0.287681
